Producto,Precio_Soles,Marca,Categoria,Conectividad_WIFI
Apple Adaptador Multipuerto de USB-C a HDMI,354.01,Apple,Accesorios Smartphone,No
Cooler Master RGB LED Controller Negro,121.42,Cooler Master,Accesorios de Ventiladores,No
Corsair Commander Pro Controlador de Velocidad de Ventilador/RGB,263.21,Corsair,Accesorios de Ventiladores,No
Corsair Commander Pro Controlador de Velocidad de Ventilador/RGB Reacondicionado,229.63,Corsair,Accesorios de Ventiladores,No
Cryorig CR-CCO Cubierta Naranja para Cryorig R1,41.23,Cryorig,Accesorios de Ventiladores,No
Cryorig CR-CCI Cubierta Azul para Cryorig R1,41.23,Cryorig,Accesorios de Ventiladores,No
EKWB EK-Cable Splitter 4-Fan PWM Extended,32.2,Ekwb,Accesorios de Ventiladores,No
EKWB EK-Cable y Splitter 3-Fan PWM 10cm,23.29,Ekwb,Accesorios de Ventiladores,No
EKWB EK-Cable PWM Fan Extension 30cm,20.05,Ekwb,Accesorios de Ventiladores,No
Noctua NA-SYC1 Cable 4 Pines PWM 2 Unidades Negro,49.86,Noctua,Accesorios de Ventiladores,No
NZXT AC-2RGBC-B1 Controlador de Ventiladores/Iluminación RGB,105.26,Nzxt,Accesorios de Ventiladores,No
Phanteks PH-CB-Y3P Splitter para Ventilador 3 Pines,34.91,Phanteks,Accesorios de Ventiladores,No
SilverStone FF123B Filtro Magnetico 120x120mm,33.41,Silverstone,Accesorios de Ventiladores,No
Silverstone FG141 Rejilla de Ventilador LED RGB 140mm,40.46,Silverstone,Accesorios de Ventiladores,No
Silverstone LSB01 Controlador Cinta Luz LED RGB,121.5,Silverstone,Accesorios de Ventiladores,No
Silverstone FG121 Rejilla de Ventilador LED RGB 120mm,36.41,Silverstone,Accesorios de Ventiladores,No
Silverstone FF143 Filtro Ventilador 140mm,39.49,Silverstone,Accesorios de Ventiladores,No
Silverstone FF121B Rejilla de Ventilador 120mm,16.0,Silverstone,Accesorios de Ventiladores,No
Silverstone FF123 Filtro para Ventilador 120x120mm,33.41,Silverstone,Accesorios de Ventiladores,No
SilverStone Filtro Magnetico 140x140mm,14.17,Silverstone,Accesorios de Ventiladores,No
Silverstone FF81 Rejilla de Ventilador 80mm,16.0,Silverstone,Accesorios de Ventiladores,No
Ewent Hub 3 puertos USB 3.1 Tipo C con Puerto de Red Gigabit,75.98,Ewent,Adaptadores USB Red,No
Google Nest Hub Carbón Altavoz Inteligente y Asistente con Pantalla Tiza Reacondicionado,303.95,Google,Altavoces,No
Goobay Adaptador de Audio Mono 2xRCA a RCA Hembra/Macho Negro,21.71,Goobay,Cables Audio/Vídeo,No
Goobay Adaptador de Auriculares para Avión 2x Jack 3.5mm a Jack 3.5mm Macho/Hembra Negro,22.52,Goobay,Cables Audio/Vídeo,No
Goobay Adaptador XLR a Jack 6.35mm Hembra/Hembra Gris,27.22,Goobay,Cables Audio/Vídeo,No
Goobay Adaptador Óptico Acodado Toslink Macho/Hembra Negro,25.31,Goobay,Cables Audio/Vídeo,No
Goobay Adaptador XLR Mono a Jack 6.35mm Macho/Macho Gris,25.8,Goobay,Cables Audio/Vídeo,No
Goobay Adaptador Audio Estéreo Angular RCA Hembra/Macho Rojo,20.37,Goobay,Cables Audio/Vídeo,No
Cooler Master Splitter RGB,37.75,Cooler Master,Cables Internos de PC,No
Delock Cable 2x 4 Pines Molex 11cm,9.64,Delock,Cables Internos de PC,No
Digitus Cable Duplicador de Alimentación SATA 30cm,88.29,Digitus,Cables Internos de PC,No
Bracket Conexión USB (2x10Pin a 4xAH) a Placa Base,24.1,Digitus,Cables Internos de PC,No
Digitus Adaptador Alimentación Molex/SATA 15cm,5.06,Digitus,Cables Internos de PC,No
Digitus Duplicador de Alimentación Molex/SATA 0.2cm,10.37,Digitus,Cables Internos de PC,No
Equip Cable Alimentación Molex/SATA 15 cm,22.23,Equip,Cables Internos de PC,No
Lian Li Strimer Extensor Cable ATX 24 pin M/H RGB,161.96,Lian-Li,Cables Internos de PC,No
Lian Li Strimer Plus RGB 24-Pin,258.47,Lian-Li,Cables Internos de PC,No
